"Title","Title_URL","Image","addresse","note","tarif"
"Hôtel Louis 2","https://www.france-hotel-guide.com/fr/75006-hotel-louis2.php","https://imgcy.trivago.com/itemimages/22/70/227001_v5.jpeg","6ème arr. Saint-Germain - Luxembourg","Excellent, 5","€ 132"
"Hôtel Saint Paul Rive Gauche","https://www.france-hotel-guide.com/fr/75006-hotel-saint-paul-rive-gauche-paris.php","https://www.hotelsaintpaulparis.com/wp-content/uploads/2021/02/double-standard-1.jpg","6ème arr. Saint-Germain - Luxembourg","Très bien, 4.5","€ 192"
"Hôtel Atmosphères","https://www.france-hotel-guide.com/fr/75005-hotel-atmospheres-paris.php","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/76/8a/25/triple-room.jpg?w=900&h=-1&s=1","5ème arr. Panthéon - Saint-Michel","Très bien, 4.5","€ 181"
"Relais Hôtel Du Vieux Paris","https://www.france-hotel-guide.com/fr/75006-hotel-vieux-paris.php","https://cf.bstatic.com/xdata/images/hotel/max500/26212871.jpg?k=e7e3c16982192c542f5400b2ac0b231531eb176f67147f651583461af1b0a84e&o=&hp=1","6ème arr. Saint-Germain - Luxembourg","Très bien, 4.5","€ 153"
"Hôtel Odéon Saint Germain","https://www.france-hotel-guide.com/fr/75006-hotel-odeon-saint-germain.php","https://3pdpge1rdezz5dk6qaroeead-wpengine.netdna-ssl.com/wp-content/uploads/sites/416/2022/02/002-hotel-osg-deluxe-triple.jpg","6ème arr. Saint-Germain - Luxembourg","Très bien, 4.5","€ 350"
"Hôtel Cujas Panthéon","https://www.france-hotel-guide.com/fr/75005-paris-hotel-cujas.php","https://foto-origin.hrsstatic.com/foto/2/0/4/3//teaser_204390.jpg","5ème arr. Panthéon - Saint-Michel","Très bien, 4.5","€ 143"
"Hôtel Vendome Saint Germain","https://www.france-hotel-guide.com/fr/75005-hotel-vendome.php","https://images.mirai.com/INFOROOMS/10916/WMo4HTBWOREdpQ7COFig/WMo4HTBWOREdpQ7COFig_large.jpg","5ème arr. Panthéon - Saint-Michel","Très bien, 4.5","€ 130"
"Hôtel Villa d'Estrees","https://www.france-hotel-guide.com/fr/75006-villa-d-estrees.php","https://media-cdn.tripadvisor.com/media/photo-s/0f/91/71/69/hotel-villa-d-estrees.jpg","6ème arr. Saint-Germain - Luxembourg","Très bien, 4.5","€ 234"
"Hôtel La Lanterne","https://www.france-hotel-guide.com/fr/75005-lanterne-hotel.php","https://cdn.sortiraparis.com/images/80/90418/534978-hotel-la-lanterne.jpg","5ème arr. Panthéon - Saint-Michel","Très bien, 4.5","€ 197"
"Hôtel Abbatial Saint Germain","https://www.france-hotel-guide.com/fr/75005-hotel-abbatial-saint-germain.php","https://foto.hrsstatic.com/fotos/0/2/1280/1280/100/FFFFFF/http%3A%2F%2Ffoto-origin.hrsstatic.com%2Ffoto%2F0%2F4%2F2%2F8%2F042860%2F042860_z34_4338743.jpg/iflQWrwWR0QdWaEdSB5ezA%3D%3D/1500%2C1155/6/Abbatial_Saint-Germain-Paris-Double_room_superior-4-42860.jpg","5ème arr. Panthéon - Saint-Michel","Très bien, 4","€ 275"
